,0,1
0,13,7
1,24,2
2,26,1
3,7,0
4,3,4
5,7,1
6,10,4
7,29,9
8,4,5
9,14,9
10,19,0
11,14,6
12,26,9
13,3,0
14,10,1
15,19,5
16,3,9
17,19,7
18,10,3
19,3,4
20,7,9
21,29,6
22,4,6
23,26,5
24,10,4
25,7,0
26,13,7
27,14,4
28,19,0
29,10,1
30,26,3
31,10,1
32,10,3
33,25,4
34,2,7
35,7,2
36,10,7
37,10,1
38,1,2
39,10,1
40,7,1
41,28,7
42,10,4
43,29,2
44,26,3
45,27,5
46,10,1
47,10,2
48,3,4
49,14,4
50,24,6
51,14,3
52,14,5
53,10,5
54,26,6
55,3,0
56,3,4
57,7,1
58,14,9
59,29,5
60,29,7
61,7,8
62,26,9
63,26,3
64,29,7
65,26,4
66,26,6
67,26,4
68,26,3
69,5,0
70,7,7
71,3,0
72,7,2
73,29,9
74,10,1
75,10,7
76,19,3
77,26,2
78,26,9
79,13,7
80,29,7
81,26,6
82,29,2
83,20,7
84,29,8
85,3,4
86,13,7
87,7,3
88,14,6
89,10,1
90,19,3
91,10,6
92,29,9
93,26,3
94,10,1
95,14,4
96,10,1
97,10,7
98,24,6
99,14,9
100,10,6
101,3,0
102,3,5
103,14,4
104,14,9
105,3,9
106,29,2
107,29,1
108,26,9
109,29,4
110,29,8
111,26,7
112,7,3
113,29,9
114,29,7
115,10,4
116,26,4
117,14,4
118,10,9
119,29,2
120,3,5
121,29,4
122,26,7
123,26,6
124,10,7
125,29,9
126,14,0
127,5,5
128,1,8
129,26,5
130,29,6
131,29,6
132,3,5
133,7,7
134,7,8
135,7,1
136,3,0
137,2,1
138,14,6
139,26,4
140,29,6
141,29,7
142,26,3
143,7,1
144,26,7
145,10,1
146,29,8
147,14,2
148,3,0
149,26,2
150,3,9
151,7,9
152,7,5
153,3,5
154,10,1
155,10,5
156,3,6
157,3,0
158,19,3
159,10,4
160,10,4
161,24,6
162,19,5
163,14,4
164,26,6
165,7,5
166,29,4
167,14,5
168,10,1
169,10,4
170,10,4
171,14,7
172,19,2
173,14,3
174,26,2
175,26,7
176,7,1
177,26,8
178,10,1
179,29,8
180,10,1
181,29,8
182,7,5
183,19,0
184,29,8
185,7,9
186,1,2
187,1,5
188,19,0
189,10,1
190,10,1
191,10,1
192,7,0
193,10,9
194,3,0
195,10,3
196,10,1
197,29,6
198,10,4
199,29,2
200,7,3
201,14,6
202,1,1
203,10,1
204,26,1
205,27,3
206,23,9
207,7,5
208,29,2
209,14,9
210,3,4
211,29,5
212,14,9
213,26,3
214,10,9
215,14,0
216,2,3
217,14,6
218,19,5
219,29,5
220,3,7
221,14,2
222,3,2
223,13,7
224,1,1
225,7,2
226,10,8
227,10,4
228,2,1
229,13,7
230,26,3
231,1,3
232,10,8
233,7,8
234,13,7
235,3,9
236,26,2
237,10,2
238,3,4
239,10,1
240,3,5
241,14,9
242,29,8
243,10,7
244,26,2
245,29,3
246,7,0
247,10,4
248,3,4
249,10,2
250,10,4
251,10,1
252,10,9
253,7,5
254,13,7
255,10,7
256,1,2
257,29,8
258,26,2
259,7,6
260,7,8
261,1,5
262,26,7
263,13,7
264,7,9
265,10,1
266,14,8
267,10,1
268,14,8
269,11,0
270,1,3
271,14,0
272,10,1
273,3,9
274,3,9
275,3,4
276,7,1
277,26,8
278,26,2
279,7,1
280,29,2
281,14,9
282,26,7
283,29,5
284,29,9
285,29,2
286,10,6
287,14,4
288,2,1
289,10,5
290,4,8
291,19,2
292,29,9
293,26,2
294,3,0
295,14,4
296,19,0
297,19,0
298,4,2
299,1,8
300,29,4
301,10,7
302,10,1
303,10,2
304,10,4
305,19,0
306,1,2
307,10,7
308,10,4
309,1,3
310,4,3
311,3,0
312,29,0
313,3,3
314,10,1
315,3,9
316,29,6
317,4,5
318,3,2
319,7,5
320,10,9
321,1,2
322,29,9
323,1,3
324,29,0
325,7,4
326,29,2
327,3,0
328,29,7
329,10,1
330,10,1
331,1,2
332,10,1
333,7,5
334,19,3
335,3,3
336,14,9
337,29,7
338,7,8
339,29,6
340,26,5
341,14,6
342,10,1
343,29,3
344,10,8
345,10,1
346,14,0
347,29,5
348,10,1
349,26,3
350,10,1
351,3,5
352,19,5
353,14,6
354,1,1
355,7,8
356,3,5
357,10,1
358,4,7
359,3,9
360,7,4
361,10,6
362,7,2
363,10,2
364,3,5
365,7,0
366,7,6
367,7,5
368,29,6
369,19,3
370,3,7
371,14,2
372,1,0
373,1,8
374,29,8
375,5,5
376,26,4
377,7,1
378,10,1
379,3,4
380,5,0
381,29,3
382,26,3
383,28,7
384,14,6
385,10,1
386,26,6
387,26,2
388,2,1
389,10,9
390,14,2
391,7,8
392,26,6
393,7,1
394,23,9
395,3,5
396,10,2
397,3,5
398,3,4
399,14,4
400,26,2
401,26,8
402,7,3
403,7,8
404,1,2
405,14,4
406,7,5
407,19,0
408,19,3
409,10,1
410,20,7
411,13,7
412,1,5
413,13,7
414,26,9
415,10,7
416,10,1
417,10,9
418,14,2
419,10,1
420,23,4
421,19,2
422,26,9
423,26,2
424,3,0
425,14,4
426,26,9
427,10,1
428,29,4
429,10,8
430,10,1
431,4,8
432,10,4
433,10,5
434,26,9
435,10,8
436,29,8
437,1,3
438,13,7
439,29,6
440,3,0
441,3,0
442,26,3
443,14,0
444,19,2
445,14,6
446,3,6
447,26,4
448,7,9
449,3,3
450,26,3
451,14,3
452,10,2
453,1,3
454,29,9
455,10,1
456,19,2
457,3,6
458,7,8
459,7,0
460,7,5
461,10,6
462,14,6
463,14,6
464,13,3
465,26,8
466,7,8
467,10,2
468,29,7
469,3,5
470,7,8
471,4,9
472,4,6
473,10,1
474,29,8
475,14,4
476,10,1
477,29,2
478,29,5
479,14,9
480,7,1
481,26,9
482,3,7
483,15,5
484,10,4
485,3,0
486,7,8
487,14,9
488,26,9
489,26,1
490,23,0
491,3,5
492,4,2
493,1,3
494,13,7
495,14,8
496,3,9
497,10,4
498,7,0
499,29,6
500,1,3
501,3,9
502,1,5
503,7,2
504,10,1
505,26,3
506,2,1
507,26,3
508,29,6
509,26,5
510,29,7
511,10,4
512,1,2
513,14,2
514,26,6
515,3,3
516,14,2
517,29,6
518,1,5
519,10,4
520,29,8
521,26,9
522,26,7
523,1,1
524,27,3
525,7,0
526,19,3
527,7,8
528,29,3
529,10,1
530,26,9
531,26,3
532,29,4
533,14,4
534,29,6
535,3,4
536,10,2
537,10,1
538,7,8
539,14,2
540,3,5
541,3,4
542,29,8
543,10,8
544,14,4
545,7,0
